iter	Logloss
0	0.6881774645
1	0.6839225348
2	0.6810582471
3	0.6765620707
4	0.6731965744
5	0.6691062438
6	0.6648344068
7	0.6602813744
8	0.6565364085
9	0.6529120072
10	0.648633731
11	0.64474175
12	0.6403056498
13	0.637306284
14	0.6335071499
15	0.6296948119
16	0.6264198157
17	0.62280973
18	0.6188060662
19	0.6147381268
20	0.6120347399
21	0.6084016181
22	0.6047148213
23	0.6010873817
24	0.5974085345
25	0.5940956036
26	0.5903906555
27	0.5870880316
28	0.5845613837
29	0.5810774472
30	0.5783771593
31	0.5760620621
32	0.5736825312
33	0.5712016098
34	0.5681807492
35	0.5653694285
36	0.5624403886
37	0.5591633983
38	0.5556773978
39	0.5536249828
40	0.5501054647
41	0.5472036057
42	0.5439275501
43	0.5409698214
44	0.5385761612
45	0.5368276788
46	0.5343020888
47	0.5320074952
48	0.5293395795
49	0.5269624457
50	0.5250136966
51	0.5219376372
52	0.520407354
53	0.5174126873
54	0.5159257003
55	0.5132752148
56	0.5104202892
57	0.5075328309
58	0.5044808349
59	0.5015870841
60	0.4991131776
61	0.4969597509
62	0.4945783524
63	0.4922600206
64	0.4896788845
65	0.4877212442
66	0.486049613
67	0.4835472206
68	0.48154046
69	0.4791683976
70	0.4768396183
71	0.4747143712
72	0.4725738733
73	0.4703532888
74	0.4681083181
75	0.4656410084
76	0.463904033
77	0.4619186137
78	0.4596828038
79	0.45745939
80	0.4557162655
81	0.4537866444
82	0.451687606
83	0.4500748973
84	0.4479252306
85	0.4457274366
86	0.4435505237
87	0.441734891
88	0.4401326772
89	0.4382690749
90	0.4371720299
91	0.4358641421
92	0.4339549343
93	0.4321223005
94	0.4306669799
95	0.428923535
96	0.4273129711
97	0.4257551889
98	0.4242033553
99	0.4228351075
100	0.4207588226
101	0.4193813319
102	0.4178292316
103	0.4167010132
104	0.4149905219
105	0.4131826512
106	0.4120018751
107	0.4102103425
108	0.4092509374
109	0.4081615398
110	0.4065753277
111	0.4061536985
112	0.4047018384
113	0.4030577533
114	0.4014562863
115	0.4001758419
116	0.3993023222
117	0.3982521486
118	0.3966124571
119	0.3955613033
120	0.3944105225
121	0.393165797
122	0.3917507977
123	0.3904012238
124	0.3893968109
125	0.3878820382
126	0.3864062415
127	0.3852079581
128	0.3839040143
129	0.3824033887
130	0.3814337648
131	0.3802432098
132	0.378964838
133	0.3780246569
134	0.3765769837
135	0.3757441258
136	0.3746607641
137	0.3738099011
138	0.3724947504
139	0.3710585229
140	0.3700654614
141	0.3692356298
142	0.3685018519
143	0.3671628778
144	0.3664517853
145	0.3654068415
146	0.3644786631
147	0.363725743
148	0.3625290743
149	0.3612320843
150	0.3599559465
151	0.3596408505
152	0.3593832548
153	0.3585066415
154	0.3576477164
155	0.3567379729
156	0.3552446646
157	0.3540427479
158	0.3533177518
159	0.3527694201
160	0.352005021
161	0.3511854056
162	0.3504142845
163	0.3492727117
164	0.3478838779
165	0.3469429793
166	0.3457736233
167	0.3450417181
