iter	Passed	Remaining
0	137	137676
1	142	71267
2	148	49322
3	151	37747
4	153	30547
5	155	25721
6	156	22248
7	158	19672
8	159	17602
9	161	15949
10	162	14581
11	163	13446
12	164	12487
13	165	11662
14	166	10960
15	168	10356
16	169	9821
17	170	9324
18	171	8874
19	173	8483
20	174	8130
21	175	7810
22	177	7530
23	178	7264
24	180	7043
25	181	6817
26	183	6607
27	184	6411
28	185	6222
29	187	6060
30	188	5900
31	190	5748
32	191	5605
33	192	5479
34	194	5363
35	195	5242
36	196	5126
37	198	5021
38	199	4920
39	200	4817
40	201	4721
41	202	4628
42	203	4539
43	205	4457
44	206	4383
45	207	4299
46	208	4224
47	209	4150
48	210	4083
49	211	4018
50	212	3956
51	213	3895
52	214	3828
53	215	3771
54	216	3716
55	217	3668
56	218	3618
57	219	3567
58	220	3520
59	221	3476
60	222	3431
61	223	3388
62	225	3346
63	226	3306
64	227	3267
65	228	3228
66	228	3185
67	229	3149
68	230	3115
69	231	3081
70	232	3047
71	233	3015
72	235	2985
73	236	2954
74	237	2923
75	238	2895
76	239	2866
77	240	2838
78	244	2846
79	245	2823
80	246	2799
81	247	2774
82	248	2750
83	249	2725
84	250	2701
85	251	2677
86	252	2654
87	254	2632
88	255	2610
89	256	2589
90	256	2565
91	257	2545
92	259	2530
93	260	2511
94	261	2494
95	263	2477
96	264	2461
97	265	2445
98	266	2428
99	267	2411
100	269	2395
101	270	2377
102	271	2360
103	272	2344
104	273	2328
105	274	2313
106	275	2297
107	276	2282
108	277	2266
109	278	2252
110	279	2237
111	279	2219
112	280	2205
113	281	2191
114	282	2177
115	283	2164
116	284	2148
117	285	2135
118	286	2123
119	287	2111
120	289	2099
121	290	2088
122	291	2077
123	292	2066
124	293	2055
125	294	2045
126	296	2036
127	297	2026
128	299	2020
129	300	2011
130	301	2002
131	303	1992
132	304	1983
133	305	1972
134	306	1963
135	307	1954
136	308	1946
137	310	1938
138	315	1952
139	316	1947
140	318	1938
141	319	1929
142	320	1921
143	321	1912
144	323	1904
145	324	1897
146	325	1890
147	327	1883
148	328	1875
149	329	1867
150	330	1860
151	331	1850
152	332	1839
153	333	1833
154	334	1826
155	336	1818
156	337	1813
157	338	1805
158	340	1798
159	341	1792
160	342	1786
161	344	1780
162	345	1773
163	346	1766
164	347	1759
165	348	1753
166	350	1746
167	351	1742
168	353	1737
169	354	1730
170	355	1723
171	356	1717
172	357	1710
173	358	1704
174	360	1697
175	360	1689
176	361	1683
177	363	1677
178	364	1670
179	365	1666
180	367	1660
181	368	1654
182	369	1648
183	370	1642
184	371	1636
185	372	1631
186	373	1625
187	374	1619
188	376	1613
189	377	1608
190	378	1604
191	379	1598
192	380	1592
193	381	1586
194	383	1581
195	384	1576
196	385	1571
197	386	1565
198	387	1560
199	388	1555
200	389	1549
201	391	1544
202	392	1539
203	393	1534
204	394	1529
205	395	1524
206	396	1519
207	397	1514
208	398	1509
209	400	1504
210	401	1500
211	402	1496
212	403	1492
213	405	1488
214	406	1484
215	408	1481
216	409	1477
217	410	1472
218	411	1466
219	411	1460
220	412	1455
221	414	1451
222	415	1447
223	416	1444
224	418	1440
225	419	1438
226	420	1433
227	422	1430
228	423	1426
229	424	1421
230	425	1417
231	427	1415
232	429	1413
233	430	1409
234	432	1406
235	433	1402
236	434	1398
237	435	1394
238	436	1390
239	437	1386
240	438	1381
241	439	1377
242	441	1374
243	442	1370
244	443	1366
245	444	1362
246	445	1358
247	446	1354
248	447	1350
249	448	1346
250	450	1343
251	451	1339
252	452	1335
253	453	1332
254	454	1328
255	456	1325
256	457	1322
257	458	1319
258	460	1316
259	461	1312
260	462	1308
261	463	1305
262	464	1302
263	465	1298
264	467	1296
265	468	1292
266	469	1288
267	470	1285
268	472	1282
269	473	1280
270	474	1276
271	475	1273
272	476	1270
273	478	1266
274	479	1263
275	480	1260
276	481	1257
277	482	1252
278	483	1249
279	484	1247
280	486	1244
281	487	1240
282	488	1237
283	489	1234
284	490	1231
285	492	1228
286	493	1225
287	494	1223
288	495	1220
289	497	1217
290	498	1214
291	499	1211
292	500	1208
293	501	1205
294	502	1202
295	504	1199
296	504	1194
297	506	1192
298	507	1189
299	508	1186
300	509	1182
301	510	1179
302	511	1177
303	513	1176
304	515	1173
305	516	1170
306	517	1168
307	518	1165
308	520	1163
309	521	1161
310	522	1158
311	524	1156
312	527	1157
313	528	1154
314	529	1151
315	530	1147
316	531	1145
317	533	1143
318	534	1141
319	535	1138
320	537	1137
321	539	1135
322	540	1133
323	542	1132
324	544	1129
325	545	1128
326	547	1126
327	548	1124
328	549	1121
329	551	1119
330	552	1116
331	554	1114
332	555	1112
333	557	1110
334	559	1110
335	561	1109
336	563	1107
337	564	1106
338	566	1104
339	567	1101
340	569	1099
341	570	1097
342	572	1096
343	574	1094
344	575	1092
345	576	1090
346	577	1087
347	578	1084
348	580	1082
349	581	1080
350	583	1078
351	584	1075
352	585	1073
353	586	1071
354	588	1068
355	589	1066
356	590	1063
357	592	1061
358	593	1059
359	594	1057
360	596	1055
361	597	1053
362	599	1051
363	600	1050
364	602	1047
365	603	1045
366	605	1044
367	606	1042
368	608	1040
369	610	1038
370	612	1037
371	613	1035
372	615	1034
373	616	1032
374	618	1030
375	619	1028
376	620	1026
377	622	1024
378	624	1022
379	626	1021
380	627	1019
381	628	1017
382	629	1014
383	630	1011
384	632	1010
385	633	1008
386	635	1006
387	637	1005
388	639	1004
389	640	1001
390	642	1000
391	643	998
392	645	996
393	646	994
394	648	992
395	649	990
396	651	989
397	652	987
398	654	985
399	655	983
400	656	981
401	658	979
402	659	976
403	660	974
404	662	972
405	663	970
406	665	969
